SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
164,Diarrhoea,"Diarrhoea is the passage of loose faeces (liquid stool) three or more times a day, or more than is normal for the individual. If the diarrhoea continues for less than 14 days, it is referred to as acute diarrhoea; if it lasts for more than 14 days it is said to be chronic or persistent diarrhoea. ",ተቅማጥ,ተቅማጥ ማለት ፈሳሲ ዝመስል ሰገራ እነከጋጥም ኮይኑ ኣብ መዓልቲ ድማ ሰለስተን ልዕለኡን ይመፅእ:: እቲ ተቅማጥ ትሕቲ 14 መዓልቲ እንድሕር ፀኒሑ ህፁፅ ውይ ድማ መፃደፊ ኢልና ንፅውዖ :: እንድሕር ደኣ ልዕሊ 14 መዓልቲ ፀኒሑ ሕድር ተቅማጥ ኢልና ንፅውዖ::,,,,
165,Diet,Diet is the sequence and balance of meals in a day. It is concerned with the eating patterns of individuals or a group. ,ስነ ምግቢ ,ስነ ምግቢ ማለት ኩነታት ኣመጋግባ ሰባት ይምልካት,,,,
166,Dignity,"To be treated with courtesy, consideration and attentiveness.  ",ክብሪ ወዲ ሰብ,ንወዲ ሰብ ብዘድልዮ ምንግዲ ብጥንቃቀን ብሓልዮት ምሕካም,,,,
167,Disability,"Disability is present when a person has a health condition (in this case, mental illness) which impairs their day-to-day functioning in some way. ",ጉድኣት ኣካል,ሰባት ብምኽንያት ሕማም ኣካሎም ክጎድሉ ከለዉ እዚ ማለት ናይ ስነ ኣእምሮ ሕማም ወን የካትት እዩ :: ኣብ መዓልታዊ ስራሖም ውን ሳዕቤን ኣልዎ::,,,,
168,Discharge,"A release or flowing out of fluid, mucus, or pus. ",ፈሳሲ ካብ ሰብነት ክወፅእ ከሎ ,ፍሳሲ ወይ መግሊ ወይ ውን ሙከስ  ካብ ሰብነት ክወፅእ ወይ ክፈስስ ከሎ ::,,,,
169,Discharge,When a person is allowed to leave. E.g. the patient was discharged from the hospital,ሕሙም ምፍናው,ሕሙም ካብ ሆስፒታል ክስነ ወይ ሕክምናኡ ወዲኡ ክወፅእ ከሎ:,,,,
170,Discrepancy,A discrepancy is a difference between what is reported and what is found. ,ኣፈላላይ ምፍጣር,ኣብ መንጎ ሪፖርት ዝተገብረን ኣብ ባይታ ብጭቡጥ ዘሎን ኣፈላላይ ክረአ እንከሎ::,,,,
171,Discrimination,"Unfair treatment of a person in which a characteristic, e.g. mental illness, marks the person out as different and leads to negative attitudes (prejudice) and behaviour (discrimination) from other people. This stigma increases the burden of illness further. ",ኣድልዎ ,ንሳባት ኣብ ሕክምና ኣፈላልይ ክፍጠር ከሎ ብሰንኪ ዘለዎም ኩነታት :: ንኣብነት ናይ ስነ ኣእምሮ ጥዕና ችግር ዘለዎ ሰብ ብአግባቡ ከይተሓከመ ክተርፍ ከሎ:: ሰነት ኣድልዎ ክግበረሎም ከሎ ኩነታታ ጥዕናኦም ውን እናገደደ እዩ ዝኸይድ::,,,,
172,Disease,A disturbance in the normal functioning of the body and is used interchangeably with illness. ,ሕማም,ሕማም ማለት ሰብነት ደቂ ሰባት ካብ ኖርማል ወፃኢ ክኸውን ከሎ እዩ::,,,,
173,Disinfection,"The procedure of killing most, but not all, infectious agents outside the body by direct exposure to chemicals. Adding chlorine is one method of disinfecting water.",ረኽሲ ዝመፅኡ ነገራት ምውጋድ ,ረኽሲ ዘምፅኡ ነገራት ብከሚካል ምቅታል ኩሎም ብሓንሳብ ግን ዘይክኸውን ይኽእል እዩ:: ንኣብነት ብክለሪን ተጠቂምካ ምይ ምሕካም ይካኣል እዩ::,,,,
174,Dissemination,Conveying or delivering the message to each audience at a variety of different places. ,መልእኽቲ ምዝርጋሕ ምስርጫው,ንዝምልከቶ ሰብ መልእኽቲ ምብፃሕ,,,,
175,DMPA,"Depot Medroxy Progesterone Acetate, or Depo-Provera is an artificial progestin preparation which resembles the naturally occurring female hormone progesterone. It is used as a contraceptive.",ዲኤምፒአ,ዲፖ ዝበሃል መከላኸሊ ጥንሲ ,,,,
176,Dorsal,Of or on the back of an animal or plant.,ዝባን ሕቆ,ኣብ ዘባን ውይ ድማ ሕቆ,,,,
177,DST,"Drug sensitivity testing (DST), performed in a reference laboratory. E.g.  It is the only means by which resistance to anti-TB drug(s) can be confirmed. DST involves growing TB bacteria and treating the culture with one or more anti-TB drugs and seeing if the bacteria are killed or not. ",ዲኤስቲ,ሓደ መድሓኒት ክንደይናይ ውፂኢታዊ ምኻኑ ንምርግጋፅ ኣብ ላቦራቶረይ ዝግበር መፅናዕቲ::ንኣብነት ሕማም ትቢ ክንደይናየ እዩ ንመድሓኒት ተለማሚዱ ዝብል ንምፍላጥ ብድራግ ሰንሲቲቪቲ መፅናዕቲ ጥራሕ እዩ ዝፍለጥ::,,,,
178,Duration,The time during which a thing continues.,ግዘ,ሓደ ነገር ዝፀንሓሉ ጊዜ,,,,
179,Dwelling,A house etc. to live in., መንበሪ ገዛ, መንበሪ ገዛ,,,,
180,Dysentery,The word dysentery refers to diarrhoea containing blood and mucus. It is usually caused by an infection.,ደም ዝተሓወሶ ተቅማጥ,ደም ዝተሓወሶ ተቅማጥ ኮይኑ ብረኽሲ ዝመፅእ እዩ,,,,
181,Dysmenorrhea,Pain during menstruation.,ኣብ ጊዜ ፅግያት ዝረአ ቃንዛ,ኣብ ጊዜ ወረሓዊ  ፅግያት ዝረአ ቃንዛ,,,,
182,Dyspnoea,Shortness of breath or breathlessness.,ትንፋስ ምሕፃር,እስትንፋስ ክሓፅረካ ከሎ,,,,
183,Dysuria,Pain on urination and pain during sexual intercourse.,ኣብ ጊዜ ሽንቲ ምሻን ወይ ድማ ርክብ ግብረ ስጋ ዘረአ ቃንዛ ,ኣብ ጊዜ ሽንቲ ምሻን ወይ ድማ ርክብ ግብረ ስጋ ዘረአ ቃንዛ ማለት እዩ,,,,
184,Eclampsia,"Sudden fits, especially during pregnancy or childbirth. ",ብሰንኪ ኣብ ግዘ ጥንሲ ዝመፅእ ፀቅጢ ደም ዝኽሰት ምንቅጥቃጥ ሰብነት,ብሰንኪ ኣብ ግዘ ጥንሲ ዝመፅእ ፀቅጢ ደም ዝኽሰት ድንገታዊ ምንቅጥቃጥ ሰብነት,,,,
185,Ecosystem,"An ecosystem includes all the living organisms (plants, animals, microorganisms), their physical environment and the interactions between them. ",ስነ ከባቢ,ስነ ከባቢ ማለት ኩሎም ሰነ ህይወታውያንን ከባበኦምን ዘሓዘ ኮይኑ ርክብ ክልቲኦም ዘሎ ዝምድና ውን የካትት እዩ,,,,
186,EDD,"Expected date of delivery (EDD) and the gestational age of the fetus. Calculating the EDD and gestational age will help you to identify whether the labour is preterm, term or post-term.",ኢዲዲ,ህፃን ክውለድ ትፅቢት ዝግበረሉ መዓልቲ ኢዲዲ ይበሃል:: ህፃን ዝውለደሉ መዕልቲ ናይ ጥንሲ ዕድመ ብምቁፃር ኣቢልካ ይፍለጥ ከምኡ ድማ እቲ  ህፃን ኣብ ጊዜኡ ድዩ ተወሊዱ ወይስ ኣቀዲሙ ዶ ወይስ ዲሒሩ እዩ ዝብል ንምፍልጥ ይሕግዝ:: ,,,,
187,Effect,A result. A change produced by an action or cause.,ውፂኢት,ውፂኢት ማለት ብተግባር ወይ ድማ ብምኽንያት ዝመፅእ ለውጢ እዩ:: ,,,,
188,Effectiveness,Producing an effect. Making a big impression.,ውፂኢታውነት,ለውጢ የምፅእ:: ዓብይ ለውጢ የርእይ,,,,
189,Efficiency,The extent to which you have achieved your objectives with the available amount of resources. ,ብኽነት ዘይብሉ ኣጠቃቅማ ሃፍቲ ንውፂኢታውነት ,ብኽነት ዘይብሉ ኣጠቃቅማ ሃፍቲ ውፂኢታውነት ንምርግጋፅ::  ,,,,
190,Elimination,"In Public Health, elimination is reduction to zero (or a target very close to zero) of cases of a particular communicable disease in a particular geographic area. ",ምጥፋእ,ኢሊሚኔሽን ማለት በዝሒ ሕሙማት ናብ ዜሮ ወይ ድማ ናብ ጥቃ ዜሮ ምውራድ ማለት እዩ::  ብፍላይ ተመሓላለፍቲ ሕማማት ኣብ ሓደ ኸባቢ:: ,,,,
191,Embryo,Embryo: the developing human from fertilisation to the eighth week of pregnancy.,ደቂ ,ሽሙናተ ሰሙን ዝገበረ ድቂ ወይ ጥንሲ ማለት እዩ:: ,,,,
192,Enamel,The hard white shiny substance which gives great strength to the tooth. ,ቅርፊት ስኒ ,ጠንካራ ዘንፀባርቅ ፃዕዳ ሽፋን ስኒ ,,,,
193,ENC,"Essential newborn care (ENC) includes immediate care at birth, care during the first day and up to 28 days.",ኢኤንሲ, ናፅላ ካብ ዝውለድ ጀሚሩ ክሳብ 28 መዓልቲ ዝግብር  ኣድላይ ክንክን የካትት ,,,,
194,Encephalopathy,A disease of the brain.,ሕማም ሓንጎል  ,ሕማም ሓንጎል  ,,,,
195,Endemic,Always present at a relatively constant rate. A communicable disease is said to be endemic in a region or country if it is always present there. ,ሓደ ሕማም ኣብ ሓደ ከባቢ ኩሉ ጊዜ እንትርአ ,ሓደ ሕማም ኣብ ሓደ ከባቢ ኩሉ ጊዜ ብተነፃፃሪ ብሓደ ዓይነት መጠን እንትርአ ,,,,
196,Endometritis,"Endometritis is an infectious process involving the inner wall of the uterus (the endometrium). It is commonly caused by bacteria ascending from the vagina, or bacteria transferred to the reproductive tract from the rectum and anus.",ረኽሲ ማህፀን,ኣብ ውሽጢ ግድግዳ ማህፀን ዝርአ ረኽሲ ኮይኑ እቲ ባክተርያ ብበዝሒ ካብ ታሕቲ ማለት ካብ ከባቢ ብልዕቲን ፊንጢጣ ናብ ላዕሊ ዝወፅእ እዩ,,,,
197,Endometrium,The lining if the uterus. ,ግድግዳ ውሽጢ ማህፀን,ግድግዳ ውሽጢ ማህፀን,,,,
198,Engagement,Engagement is when the fetal head enters (i.e. the head is engaged) into the pelvic inlet. ,ቆልዓ ናብ ጎሎ እንትወርድ ,ርእሲ ዕሸል ናብ ጎሎ እንትወርድ ,,,,
199,Engorgement,Congestion with blood. Swelling of the breast.,ሕነጥ ጡብ,ጡብ ኣደ እንትሓብጥ,,,,
200,Enrich,Improve the quality by adding things. E.g. Enrich the food by adding some oil or butter.,ትሕዝቶ ሓደ ነገር ምውሳኽ,ትሕዝቶ ሓደ ነገር ምውሳኽ ንኣብነት ትሕዝቶ ምግቢ ዘይቲ ወይ ጠስሚ ብምውሳኽ ምምሕያሽ,,,,
201,Enuresis,"Involuntary urination, either during the daytime or at night, and occurring at an age when complete bladder control is expected. ",ሽንቲ ዘይምቁፅፃር ,ኣብ ዓበይቲ ሰባት ቀትሪ ወይ ለይቲ ሽንቲ ምቁፅፃር እንትኣቢ  ,,,,
202,Environment,"Within public health, the environment includes all those matters related to health which are external to the human body and over which the individual has little or no control. The environment includes all other factors that either promote or prohibit disease transmission. ",ከባቢ ,ኣብ ከባቢና እንረኽቦም ነገራት ኮይኖም ምስ ጥዕና ደቂ ሰባት ረኽቢ ዘለዎምን ካብ ቁፅፅር ወፃኢ ዝኾኑ ነገራትን ንደቂ ሰባት ንሕማም ዘቃልዑ  ወይ ድማ ሕማም ክይመሓለለፍ ዝዓግቱ የጠቃልል   ,,,,
203,Enzymes,"Enzymes are chemical substances produced by cells in the body, which cause a particular chemical reaction to happen while not being changed themselves.",ኢንዛይም ,ኢንዛይም ማለት ኣብ ውሽጢ ሰብነት ብዋህዮ ዝስራሕ ንጥረ ነገር ከይኑ ንባዕሉ ከይተቀየረ ንጥረ ነገራት ንክብላዕልዑ ይገብር,,,,
204,EPI,"The Expanded Programme on Immunization (EPI) began in 1974 when the World Health Assembly pledged to ensure that all children in all countries receive life-saving vaccines. Each year, immunization now prevents more than 2.5 million deaths among children worldwide. ",ኢፒኣይ ,ዝርገሐ መርሃ ግብሪ ክታበት ኣብ 1974 እ ፈ ዝተጀመረ ኾይኑ ውድብ ጥዕና ዓለም ብዝፈቀዶ መሰረት ኣብ ኩሉ ዓዲ ዝርከቡ ኩሎም ህፃናት ህይወት መድሕን ክትባት ክርኽበ ወሲኑ ንህፃናት ብዝዋሃብ ክታብት ኣቢሉ በቢ ዓመቱ 2.5 million ሞት ህፃናት ይንኪ፡፡ ,,,,
205,Epidemic,An outbreak of disease affecting many persons in a community or region at the same time.,ለበዳ ,ሕማም ለበዳ ኣብ ሓደእዋን ኣብ ሓድ ቦታ ቡዝሓት ሰባት ይጥቀዕ ,,,,
206,Epidemiology,"Epidemiology is the statistical study of the occurrence, distribution, potential causes and control of diseases, disabilities or other health problems in human populations.",ስርጭትን  ዘርገሐን መበገሲ ምኽንያት ሕማምሠማት ዘፅንዕ ሳይነስ እዩ ,ስርጭትን  ዘርገሐን መበገሲ ምኽንያት ሕማምሠማት ዘፅንዕ ሳይነስ እዩ ,,,,
207,Epilepsy,A chronic or longstanding condition caused by abnormal electrical conductions in the brain. ,ዘውድቅ ሕማም,ብሰንኪ ኣብ  ሓንጎል ዝፍጠር ምቁርራፅ መልእኽቲ ዝመፅእ  ሕማም እዩ ,,,,
208,Epileptic,"Epilepsy is characterised by recurrent seizures (sometimes called fits). A seizure is caused by a sudden burst of excess electrical activity in the brain, causing a temporary disruption in the normal messages passing between brain cells. This disruption results in the brain's messages becom",ኢፕለፕቲክ,ኢፒለፕሲ ዘሓዞ ሰብ ሰውነቱ ይንቅጥቀጥ ከምኡ እውን ውነኡ ይስሕት:: እዙይ ድማ ብሰንኪ ኣብ ሓንጎል ብዝፍጠር በዝሒ ናይ ኤሌክትርከ ምንቅስቃስ ኣብ መንጎ ናይ ሓንጎል ዋህዮታት ብዝፍጠር ጊዝያዊ ምቁራፅ ምትሕልላፍ መልእኽቲ ዝመፅእ ሕማም እዩ:,,,,
209,Epithelium,(Plural: Epithelia). The tissue forming the outer layer of the body or of an open cavity.,ሽፋን ውሽጢ ኣካል ሰብነት ,ሽፋን ውሽጢ ኣካል ሰብነት ማልት ኤዩ,,,,
210,Eradication,The total and sustained disappearance of the disease from the population. ,ካብ ሓደ ማሕበረሰብ ሓደ ሕማም መሊኡ እንትጠፍእ ,ካብ ሓደ ማሕበረሰብ ሓደ ሕማም መሊኡ እንትጠፍእ ,,,,
211,Errors,"Errors (mistakes) can result from incorrect reading of the data, incorrect reporting, incorrect filing or incorrect typing. ",ጌጋታት ,ጌጋታት   ዳታ ብትኽክል ካብ  ዘይምንባብ፣ ናይ ሓሶት ሪፖርት፣  ትኽክል ዘይኮነ ኣታሕዛ ፋይል ወይ ድማ ኣፃሓሕፋ ክመፅእ ይኽእል,,,,
212,Ethics,"Ethics is the branch of philosophy, which takes a systematic approach to define social and individual morality.",ስነ ምግባር ,ስነ ምግባር ማለት ሓደ ኽፋል ፊሎሶፊ ኮይኑ እንታይ እዩ ትኽክል እንታይ እዩ ኸ ጌጋ ኢሉ ዝትንትን እዩ,,,,
213,Eutrophication,"The ecosystem response to the addition of artificial or natural substances, mainly phosphates, through detergents, fertilizers, or sewage, to an aquatic system. E.g. a sudden increase in the population of microscopic algae. If a water body has high nutrient levels it is said to be eutrophic. The main problem of eutrophication is that the suddenly increased population of aquatic plants can die off equally quickly. ",ኢዩትሪፊኬሽን,ብተወሰኽቲ ግዳማዊ ኣካላት ዝመፅእ ለውጢ ተፈጥሮ፡፡  ,,,,
214,Evaluation,"Evaluation is the systematic collection, analysis and reporting of information about health education activities. Evaluating means finding out how well you are doing in your health education work in your community, and making a judgment about your achievements. ",ገምጋማዊ መፅናዕቲ,ገምጋማዊ መፅናዕቲ ማለት መረዳእታ ጥዕና ብሜላ ብምእካብን ብምትንታንን ሪፖረት ብምገባርን ዝካየድ ኮይኑ ስራሕቲ ጥዕና ለውጢ ምምፃኦምን ዘይምምፃኦምን እንርእየሉ መፅናዕቲ እዩ,,,,
215,Evaporation,"Evaporation is the change from a liquid to a gas. When the sun shines on the surface of water, water molecules evaporate from the water body into the atmosphere.  Newborns lose heat by evaporation after delivery or after a bath. ",ትነት,ትነት ማለት ፈሳሲ ናብ ጋዝ እንትቅየር ማለት እዩ፡፡ ኣብነት፡ ኣብ ፅሓይ ግዘ ማይ ብትነት መልክዕ ናብ ሰማይ ይወፅእ,,,,
216,Exception,Not included. A thing that does not follow the general rule. ,ብዘይካ ,ብዘይካ ሓደ ነገር ኢሉውን ካብቲ ጠቅላላ ኣሰራርሓ ውፅእ ዝበለ ,,,,
217,Exercise,"An activity that requires physical or mental effort, done for the sake of health. ",ምልምማድ ,ናይ ኣካል ወይ ኣእምሮ ፃዕሪ ዘድልዮ ንጥዕና ተባሂሉ ዝግበር ስራሕቲ,,,,
218,Expectations,Expecting. Looking forward with hope or pleasure. ,ትፅቢት  ,በተስፋ ትፅቢት ዝግበረሉ ነገር ,,,,
219,Expulsion,Expelling. E.g. Expulsion of baby's head.,ንግዳም ምውፃእ,ሓደ ነገር ንግዳም እንትወፅእ፡፡ ንኣብነት ርእሲ ቆልዓ ካብ ማህፀን እንትወፅእ,,,,
220,Extension,"The amount, degree, or range to which something extends or can extend. e.g. the act of straightening or extending a limb.",መቐፀልታ/ምዝርጋሕ ,ሓድ ነገር ክበፅሖ ዝኽእል መጠን ወይ ዲግሪ ንኣብነት እግሪ ክዝርጋሕ እንከሎ ,,,,
221,Exudate,Emission. Discharge. A substance that is released or emitted. ,ፈሳሲ ,ዝወፅእ ፈሳሲ ,,,,
222,Eyelashes,Eyelashes are small hairs growing from the edges of the eyelids.,ቅርንብ ፀጉሪ ዓይኒ ,ቅርንብ ፀጉሪ ዓይኒ ,,,,
223,Eyelids,"The eyelids are muscular folds of skin above and below your eyes that can open and close like a gate covering and revealing the eye. They protect the eye from foreign matter, such as dust, dirt and other debris that might damage the eyes. ",ሽፋን ዓይኒ ,ብላዕልን ታሕትን ዕይኒ ዝርክብ ሽፋን ዓይኒ ኮይኑ ንዓይኒ ሓደጋ ከይበፅሖ ዝከላኸል እዩ ,,,,
224,Face,The surface of the front of the head that extends from the upper ridge of the eye to the nose and chin (lower jaw).,ገፅ ሰብ,ካብ ደንደስ ዓይኒ ስጋብ መንከስኸ ዘሎ ክፋል ገዕ ማለት እዩ,,,,
225,Fats,"Naturally oily substance, insoluble in water, found in animal bodies and certain seeds. E.g. butter and oil.",ጮማ /ስብሒ , ዘይቲ ዘለዎም ንጥረ ነገራት ኮይኖም ኣብ ማይ ዘይሓቁ ኣብ ናይ እንስሳት ሰብነትን  ዝረከብ  ንኣብነት ጠስምን ዘይትን,,,,
226,Feasibility,"Able to be done, possible, likely. E.g. Consider the complexity of the problem and the resources you will require to carry out a study. ",ተግባራውነቱ ,ክትግበር ዝኽእል ንኣብነት እቲ ስረሕ ክነደየናይ ኣፀጋሚ ምኻኑ ምርኣይን ክንደይ ዝኣክል ግብኣት ከም ዘድልየካ ምፅናዕን,,,,
227,Feedback,The mechanism of assessing what has happened to the receivers after the communication has occurred. A communication is said to have feedback when the receiver of the message gives his or her responses back to the sender of the message.,ግብረ መልሲ ,ግብረ መልሲ ድሕሪ መልእኽቲ ምትሕልልፍ ብመዳይ መልእኽቲ ተቀባሊ  እንታይ ከም ዝተፈጥረ ንምፍላጥ ዝግበር ከይዲ እዩ:: ርክብ ክልተ መደያዊ እንድሕር ዳኣ ኮይኑ ግብረ ምልሲ ክህልዎ ግቡእ እዩ::,,,,
228,FEFO,"When storing and using drugs and other pharmaceutical supplies. FEFO: First-Expired, First-Out (first use the drug that will expire first).",ፊፎ,ፊፎ ማለት ፊረሰት ኤክስፓይርድ  ፈረሰት ኣውት ማልት እዩ:: እቲ መጀመርታ ኤክስፓይር ዝገብር መድሓኒት ኣቀዲምካ ተጠቀም ማለት ,,,,
229,Fermentation,"Chemical change caused by the action of an organic substance such as yeast, involving production of heat. E.g. when sugar is converted into alcohol. ",ጥጅእ ,ከሚካላዊ ለውጢ ብምኽንያት ምብልዕልዕ ኦርጋኒክ ንጥረ ነገር ዝኽሰት ከም ይስት ዝኣምሰለ :: ንኣብነት ሹከር ናብ ኣልኮል እንትቅየር,,,,
230,Fertilisation,"In humans, fertilisation is defined as the fusion of the sperm nucleus with the ovum nucleus. For fertilisation to occur, sperm must be deposited in the vagina no earlier than three days before ovulation or within one day after ovulation. ",ዘርኢ ወዲ ተባዕታይን ጋል ኣነስተይትን እንትራኸቡ ,ዘርኢ ወዲ ተባዕታይን ጋል ኣነስተይትን እንትራኸቡ ኣብ ማህፀን ሻምብቆ እንትራኸቡ:: ,,,,
231,Fetus,The developing baby inside the womb.,ኣብ ውሽጢ ማህፀን  ዘሎ ዕሸል,ኣብ ውሽጢ ማህፀን  ዘሎ ዕሸል,,,,
232,Fever,A body temperature higher than normal.,ትኩሳት ወይ ረስኒ,ሙቀት ሰብነት ካብ ንቡር ንላዕሊ እንትኸውን ,,,,
233,Fibre,"A mixture of different carbohydrates which are not digested like other nutrients but pass through the gut nearly unchanged. Foods rich in fibre are 'kocho'; vegetables like cabbage, 'kosta', carrots, cassava; fruits like banana and avocado; peas and beans; whole-grain cereals.",ሓሰር መሰር ,ክሓቁ ዘይኽእሉ ሕዋስ ዝተፈላለዩ ካርቦሃይድሬትስ ኮይኖም ብመዓናጡ ምንም ዓይነት ለውጢ ከይገበሩ ዝሓልፉ ኢዮም:: ከም ቆጮ ካወሎ ቀስጣ ካሮት ካሳቫ ባናና ኣቮካዶ ዓተር ለውዝን ጥረምረን ድማ ቀንዲ ኣብነታት እዮም::,,,,
234,FIFO,"When storing and using drugs and other pharmaceutical supplies. FIFO: First-In, First-Out (first use the drug that first went into the cupboard or refrigerator).",ፊፎ ,ፍፊረሰት ኢን ፊረሰት ኣውት ማለት ቀዲሙ ኣታዊ ዝኾነ መድሓኒት ኣቀዲማካ ምጥቃም ማለት እዩ,,,,
235,fistula,"e days labour with no health professional to assist her, the baby was stillborn. She became incontinent (unable to control her urine) due to a fistula (a hole that formed in the wall of the vagina communicating with the bladder) (see Box 5.3). A few days later Emebet was taken to a hospital w",ፊሰቱላ (ነዃል),ፊሰቱላ ማለት ብሰንኪ ምንዋሕ  ሕርሲ ዝፍጠር ኣብ መንጎ ፍሕኛን ብልዕቲ ኣደ ዝፍጠር ነኻል እዩ,,,,
236,Fistula,"An abnormal opening (usually as a result of ruptured tissues) between either the vagina and the urinary bladderì, the recturm the urethra or the ureter.",,,,,,
237,Fit,"A sudden, violent attack of a disease, causing convulsions or spasms and sometimes unconsciousness.",ምንቅጥቃጥ,ብሃንደበት ዝለዓል ኮይኑ ሰብነት ዘንቀጥቅጥ ወይ ዝጭብጥ ከምኡውን ሓድሐደ ግዘ ውነ ዘስሕት ሕማም እዩ,,,,
238,Fluoride,"Fluoride is a substance found in nature that strengthens teeth and helps prevent tooth decay. Most water systems naturally contain some fluoride, but the amounts must be 'just right' to promote oral health. Not getting enough fluoride in the diet or water supply increases the risk of tooth decay. ",ፈሎራይድ,ፍሎራይድ ማለት ስኒ ዘጠንክርን ስኒ ንኸይብስብስ ዝከላኸልን ብተፈጥሮ ዝርከብ  ባኣታ (ኬሚካል) እዩ,,,,
239,follow-up,"A further action. E.g. A follow-up visit has a different purpose from an initial visit, to monitor the patient's treatment and health status.",ክትትል ,ክትትል  ዝተፈላለየ ዕላማ ኣለውዎ:: ንኣብነት  ንሕሙም ዝግበር ክትትል መድሓኒት ብትኽክል ምውሳዱ ንምርኣይን ዘምፅኦ ለውጡ ንምክክትታልን እዩ,,,,
240,Fomites,"Inanimate objects that carry the infectious agent (e.g. dishes, cups and other contaminated surfaces or objects) that can transmit infection from one person to another.",ሂይወት ዘይብሎም ነገራት ኮይኖም ሕማም ካብ ሓደ ሰብ ናብ ካሊእ ሰብ ዘመሓላልፉ,ሂይወት ዘይብሎም ነገራት ኮይኖም ሕማም ካብ ሓደ ሰብ ናብ ካሊእ ሰብ ዘመሓላልፉ ከም ሸሓነ ኩባያ ካልኦት ዝተበከሉ ኣቁሕታት የጠቃልል,,,,
241,Fontanel,"A fontanel or 'soft-spot' is the space created by the joining of two or more sutures. It is covered by thick membranes and the skin on the baby's head, protecting the brain underneath the fontanel from contact with the outside world. ",መንበሰብስቲ ,መንበስብስቲ ማለት ኣብ መንጎ ክልተ ወይ ካቡኡ ንላሕሊ መራኸቢ  ሽክና ርእሲ ዝተፈጥረ ሉስሉስ ክፍትት ርእሲ እዩ :: ብጠንካራ  ቆርቦት ርእሲ ዝተሸፈነ ኮይን ንሓንጎል ድማ ካብ ሓድጋ ይከላኽል,,,,
242,Fortification,Increasing the food value of certain food by adding vitamins. ,ቫይታሚን ብውሳኽ ትሕዝቶ ምግቢ ምብልፃግ,ቫይታሚን ብውሳኽ ትሕዝቶ ምግቢ ምብልፃግ,,,,
243,Fracture,A fracture is where there is a break in a bone caused by a force applied to the body. The degree of damage depends on the magnitude of force applied and the strength of the bone. ,ስብራት,ስብራት ማለት ዓፅሚ ብሰንኪ ግዳማዊ ሓይሊ ክስበር/ክፍለ ከሎ እዩ:: ዳረጃ መስበርቲ ኣብ በዝሒ ግዳማዊ ሓይሊ ዝተመርኮሰ እዩ::,,,,
244,Freedom,"The condition of being free, independent.",ናፅነት,ነፃ ምኻን ማለት እዩ,,,,
245,Freeze-tag,"The most commonly used type of freeze indicator is the freeze-tag. This is an irreversible temperature indicator that shows if a product, such as a vaccine, has been exposed to freezing. ",መለክዒ መጠን ዛሕሊ ,መለክዒ መጠን ዛሕሊ ፍርጅ::  ኣብ ፍርጅ ዘትቀመጡ መድሓኒታት ብትኽክል ምዝሓልም ዘርኢ ኮይኑ ሓንሳብ ዝለከዖ መጠን ሙቀት ንድሕሪት ኣይምለስን,,,,
246,Frequency,The number of times that an event occurs within a specific period.,በዝሒ ዝተርኣየሉ/ድግግም ,ኣብ ውሱን ጊዘ በዝሒ ሓደ ነገር ዝተርኣየሉ ወይ ዝተኸሰተሉ ,,,,
247,Fundus,"The rounded top of the uterus, between the junctions with the two fallopian tubes.",ላዕለዋይ ኣካል ክፋል ማህፀን ,ክብብ ዝበለ ላዕለዋይ ክፋል ማህፀን ኮይኑ ኣብ መነጎ ክልተ ሻምብቆ ማህፀን ዝለዓለሉ ይርከብ,,,,
248,Gauge,"A standard scale of measurement. An instrument for measuring the dimensions, capacity, or amount of something.",መለክዒ/መዐቀኒ,ደረጃኡ ዘሓለወ መለክዒ እዩ:: እዚ መሳርሒ እዙይ ዓቅምን በዝሕን ንምልካዕ ይጠቅም,,,,
249,GBV,"Gender-based violence (GBV) is any form of deliberate physical, psychological or sexual harm, or threat of harm, directed against a person on the basis of their gender. ",ፆ ታዊ መጥቃዕቲ,ፆ ታዊ መጥቃዕቲ ማለት ኮነ ኢልካ ንሰባት ብሰንኪ ፆታኦም ኣካላውን  ሰነ ልቦናዊን ፆታውን ወ መጥቃዕቲ/ ስግኣት ከሕድሩ ምግባር ማልት እዩ ::,,,,
250,Gender,Gender refers to the socially and culturally defined roles for males and females.  ,ስነ ፀታ ,ስነ ፆታ ማለት ብማሕነራውን ባህላውን ዝተወሰነ ግደ ተባዕታይን ኣነስታይን እዩ::,,,,
251,Giardiasis,"Giardiasis is a faeco-oral disease which results from infection of the small intestine by protozoa called Giardia intestinalis, also known as Giardia duodenalis.",ጂያርዲያሲስ,ጂያርዲያሲስ ብስንኪ ጂርደያ ኢነተስቲናልስ ዝመፅእ ሕማም ኮይኑ መተሓላለፊኡ ድማ ብፍታን ብዝተበከለ ምግበን መይን እዩ,,,,
